"speaker","word","의미","동음이의","type","분석1","분석2","성조","지역","age","gender","N","A1","A2","A3","B1","B2","B3","C1","C2","C3","D1","D2","D3","a1","a2","a3","b1","b2","b3","c1","c2","c3","d1","d2","d3"
"JBS","똥","","","고유어1","1","","H","부산",60,"여",1,"ㄸ","ㅗ","ㅇ"," "," ",""," "," ","","","","","유기음_경음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","뺨","","","고유어1","1","","H(H)","부산",60,"여",1,"ㅃ","ㅑ","ㅁ"," "," ",""," "," ","","","","","유기음_경음","dp","폐음절_공명자음","","","","","","","","",""
"JBS","중","","","고유어1","1","","L","부산",60,"여",1,"ㅈ","ㅜ","ㅇ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","틈","","","고유어1","1","","H(H)","부산",60,"여",1,"ㅌ","ㅡ","ㅁ"," "," ",""," "," ","","","","","유기음_경음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","병","","","고유어1","","","H","부산",60,"여",1,"ㅂ","ㅕ","ㅇ"," "," ",""," "," ","","","","","평파열음_평파찰음","dp","폐음절_공명자음","","","","","","","","",""
"JBS","뒤","","","고유어1","1","","L","부산",60,"여",1,"ㄷ","ㅟ",""," "," ",""," "," ","","","","","평파열음_평파찰음","dp","개음절","","","","","","","","",""
"JBS","깃","","","고유어1","1","","H(H)_1","부산",60,"여",1,"ㄱ","ㅣ","ㅅ"," "," ",""," "," ","","","","","평파열음_평파찰음","","폐음절_평파열음","","","","","","","","",""
"JBS","돌","rock","1","고유어1","1","","","부산",60,"여",1,"ㄷ","ㅗ","ㄹ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","돌","생일","1","고유어1","1","","","부산",60,"여",1,"ㄷ","ㅗ","ㄹ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","위","","","고유어1","1","","H","부산",60,"여",1,"ㅇ","ㅟ",""," "," ",""," "," ","","","","","공명음","dp","개음절","","","","","","","","",""
"JBS","떡","","","고유어1","1","","H(H)","부산",60,"여",1,"ㄸ","ㅓ","ㄱ"," "," ",""," "," ","","","","","유기음_경음","sg","폐음절_평파열음","","","","","","","","",""
"JBS","셋","","","고유어1","1","","L","부산",60,"여",1,"ㅅ","ㅔ","ㅅ"," "," ",""," "," ","","","","","마찰음","sg","폐음절_평파열음","","","","","","","","",""
"JBS","솜","","","고유어1","1","","L","부산",60,"여",1,"ㅅ","ㅗ","ㅁ"," "," ",""," "," ","","","","","마찰음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","별","","","고유어1","1","","L","부산",60,"여",1,"ㅂ","ㅕ","ㄹ"," "," ",""," "," ","","","","","평파열음_평파찰음","dp","폐음절_공명자음","","","","","","","","",""
"JBS","침","","","고유어1","1","","H(H)","부산",60,"여",1,"ㅊ","ㅣ","ㅁ"," "," ",""," "," ","","","","","유기음_경음","","폐음절_공명자음","","","","","","","","",""
"JBS","벼","","","고유어1","1","","H","부산",60,"여",1,"ㅂ","ㅕ",""," "," ",""," "," ","","","","","평파열음_평파찰음","dp","개음절","","","","","","","","",""
"JBS","숱","","","고유어1","1","","H","부산",60,"여",1,"ㅅ","ㅜ","ㅌ"," "," ",""," "," ","","","","","마찰음","sg","폐음절_평파열음","","","","","","","","",""
"JBS","집","","","고유어1","1","","H(H)","부산",60,"여",1,"ㅈ","ㅣ","ㅂ"," "," ",""," "," ","","","","","평파열음_평파찰음","","폐음절_평파열음","","","","","","","","",""
"JBS","안","","","고유어1","1","","H(H)_1","부산",60,"여",1,"ㅇ","ㅏ","ㄴ"," "," ",""," "," ","","","","","공명음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","밖","","","고유어1","1","","H","부산",60,"여",1,"ㅂ","ㅏ","ㄲ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_평파열음","","","","","","","","",""
"JBS","닥","","","고유어1","1","","H","부산",60,"여",1,"ㄷ","ㅏ","ㄱ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_평파열음","","","","","","","","",""
"JBS","잎","","","고유어1","1","","H(H)","부산",60,"여",1,"ㅇ","ㅣ","ㅍ"," "," ",""," "," ","","","","","공명음","","폐음절_평파열음","","","","","","","","",""
"JBS","산","","","고유어1","1","","H","부산",60,"여",1,"ㅅ","ㅏ","ㄴ"," "," ",""," "," ","","","","","마찰음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","왕","","","고유어1","","","H","부산",60,"여",1,"ㅇ","ㅘ","ㅇ"," "," ",""," "," ","","","","","공명음","dp","폐음절_공명자음","","","","","","","","",""
"JBS","금","","","고유어1","","","H","부산",60,"여",1,"ㄱ","ㅡ","ㅁ"," "," ",""," "," ","","","","","평파열음_평파찰음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","개","동물","1","고유어1","1","","","부산",60,"여",1,"ㄱ","ㅐ",""," "," ",""," "," ","","","","","평파열음_평파찰음","sg","개음절","","","","","","","","",""
"JBS","개","윷놀이","1","고유어1","1","","","부산",60,"여",1,"ㄱ","ㅐ",""," "," ",""," "," ","","","","","평파열음_평파찰음","sg","개음절","","","","","","","","",""
"JBS","논","","","고유어1","1","","H(H)_1","부산",60,"여",1,"ㄴ","ㅗ","ㄴ"," "," ",""," "," ","","","","","공명음","sg","폐음절_공명자음","","","","","","","","",""
"JBS","상","","","고유어1","","","H","부산",60,"여",1,"ㅅ","ㅏ","ㅇ"," "," ",""," "," ","","","","","마찰음","sg","폐음절_공명자음","","","","","","","","",""
