"speaker","word","의미","동음이의","type","분석1","분석2","성조","지역","age","gender","N","A1","A2","A3","B1","B2","B3","C1","C2","C3","D1","D2","D3","a1","a2","a3","b1","b2","b3","c1","c2","c3","d1","d2","d3","Wz","w1","w2","w3","w4","W3","W2","w1f","w2f","w3f","w4f","weight","weigth_comb","weigth_comb2","weigth_comb3","weigth_comb4"
"LHB","따까리","","","고유어3","1","","","부산",20,"여",3,"ㄸ","ㅏ","","ㄲ","ㅏ","","ㄹ","ㅣ","","","","","tsasp","sg","light","tsasp","sg","light","son","","light","","","","0000",0,0,0,0,"000","00","light","light","light","light",1,"light-light-light","light-light","X-light-light","light-light-light-light"
"LHB","구시기","","","고유어3","1","","","부산",20,"여",3,"ㄱ","ㅜ","","ㅅ","ㅣ","","ㄱ","ㅣ","","","","","lax","sg","light","fri","","light","lax","","light","","","","0000",0,0,0,0,"000","00","light","light","light","light",1,"light-light-light","light-light","X-light-light","light-light-light-light"
"LHB","꼬랑지","","","고유어3","1","","","부산",20,"여",3,"ㄲ","ㅗ","","ㄹ","ㅏ","ㅇ","ㅈ","ㅣ","","","","","tsasp","sg","light","son","sg","son","lax","","light","","","","0100",0,1,0,0,"010","01","light","heavy","light","light",3,"light-heavy-light","light-heavy","X-heavy-light","light-heavy-light-light"
"LHB","봉다리","","","고유어3","","","","부산",20,"여",3,"ㅂ","ㅗ","ㅇ","ㄷ","ㅏ","","ㄹ","ㅣ","","","","","lax","sg","son","lax","sg","light","son","","light","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"LHB","쭐거리","","","고유어3","1","","","부산",20,"여",3,"ㅉ","ㅜ","ㄹ","ㄱ","ㅓ","","ㄹ","ㅣ","","","","","tsasp","sg","son","lax","sg","light","son","","light","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"LHB","휘파람","","","고유어3","1","","LHH","부산",20,"여",3,"ㅎ","ㅟ","","ㅍ","ㅏ","","ㄹ","ㅏ","ㅁ","","","","fri","dp","light","tsasp","sg","light","son","sg","son","","","","0010",0,0,1,0,"001","00","light","light","heavy","light",2,"light-light-heavy","light-light","X-light-heavy","light-light-heavy-light"
"LHB","병아리","","","고유어3","1","","","부산",20,"여",3,"ㅂ","ㅕ","ㅇ","ㅇ","ㅏ","","ㄹ","ㅣ","","","","","lax","dp","son","son","sg","light","son","","light","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"LHB","엉터리","","","고유어3","1","","LHL","부산",20,"여",3,"ㅇ","ㅓ","ㅇ","ㅌ","ㅓ","","ㄹ","ㅣ","","","","","son","sg","son","tsasp","sg","light","son","","light","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"LHB","까마귀","","","고유어3","1","","LHL","부산",20,"여",3,"ㄲ","ㅏ","","ㅁ","ㅏ","","ㄱ","ㅟ","","","","","tsasp","sg","light","son","sg","light","lax","dp","light","","","","0000",0,0,0,0,"000","00","light","light","light","light",1,"light-light-light","light-light","X-light-light","light-light-light-light"
"LHB","올챙이","","","고유어3","1","","LHL","부산",20,"여",3,"ㅇ","ㅗ","ㄹ","ㅊ","ㅐ","ㅇ","ㅇ","ㅣ","","","","","son","sg","son","tsasp","sg","son","son","","light","","","","1100",1,1,0,0,"110","11","heavy","heavy","light","light",7,"heavy-heavy-light","heavy-heavy","X-heavy-light","heavy-heavy-light-light"
"LHB","테두리","","","고유어3","1","","LHL","부산",20,"여",3,"ㅌ","ㅔ","","ㄷ","ㅜ","","ㄹ","ㅣ","","","","","tsasp","sg","light","lax","sg","light","son","","light","","","","0000",0,0,0,0,"000","00","light","light","light","light",1,"light-light-light","light-light","X-light-light","light-light-light-light"
"LHB","올가미","","","고유어3","1","","LHL","부산",20,"여",3,"ㅇ","ㅗ","ㄹ","ㄱ","ㅏ","","ㅁ","ㅣ","","","","","son","sg","son","lax","sg","light","son","","light","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"LHB","홀치기","","","고유어3","1","","","부산",20,"여",3,"ㅎ","ㅗ","ㄹ","ㅊ","ㅣ","","ㄱ","ㅣ","","","","","fri","sg","son","tsasp","","light","lax","","light","","","","1000",1,0,0,0,"100","10","heavy","light","light","light",5,"heavy-light-light","heavy-light","X-light-light","heavy-light-light-light"
"LHB","엉덩이","","","고유어3","1","","LHH","부산",20,"여",3,"ㅇ","ㅓ","ㅇ","ㄷ","ㅓ","ㅇ","ㅇ","ㅣ","","","","","son","sg","son","lax","sg","son","son","","light","","","","1100",1,1,0,0,"110","11","heavy","heavy","light","light",7,"heavy-heavy-light","heavy-heavy","X-heavy-light","heavy-heavy-light-light"
